"Date","Symbol","Marketcapname","Sector"
"24-07-2026 2:45 pm","NAUKRI","Largecap","I.T"
"24-07-2026 3:05 pm","ADANIENT","Largecap","Services"
"24-07-2026 3:15 pm","RADICO","Largecap","FMCG"
"27-07-2026 9:25 am","BANKBARODA","Largecap","Bank"
"27-07-2026 9:35 am","ICICIGI","Largecap","Financials"
"27-07-2026 12:25 pm","DRREDDY","Largecap","Healthcare"
"27-07-2026 1:45 pm","JSWSTEEL","Largecap","Metals & Mining"
"27-07-2026 1:55 pm","WAAREEENER","Largecap","Industrials"
"27-07-2026 2:25 pm","JSWSTEEL","Largecap","Metals & Mining"
"27-07-2026 2:25 pm","ENERGY","Smallcap","Indices"
"27-07-2026 2:45 pm","JSWSTEEL","Largecap","Metals & Mining"
"27-07-2026 2:45 pm","HINDUNILVR","Largecap","FMCG"
"27-07-2026 2:45 pm","HDFCAMC","Largecap","Financials"
"27-07-2026 2:55 pm","UPL","Largecap","Chemicals"
"27-07-2026 3:05 pm","BSE","Largecap","Financials"
"27-07-2026 3:05 pm","ENERGY","Smallcap","Indices"
"27-07-2026 3:25 pm","ASIANPAINT","Largecap","Building Materials"
"28-07-2026 9:25 am","LUPIN","Largecap","Healthcare"
"28-07-2026 9:25 am","CHOLAFIN","Largecap","Financials"
"28-07-2026 9:25 am","CDSL","Largecap","Financials"
"28-07-2026 9:35 am","ZYDUSLIFE","Largecap","Healthcare"
"28-07-2026 9:55 am","AXISBANK","Largecap","Bank"
"28-07-2026 10:05 am","UNIONBANK","Largecap","Bank"
"28-07-2026 10:15 am","MANAPPURAM","Largecap","Financials"
"28-07-2026 10:25 am","LUPIN","Largecap","Healthcare"
"28-07-2026 10:25 am","ADANIPORTS","Largecap","Transportation"
"28-07-2026 10:35 am","AUROPHARMA","Largecap","Healthcare"
"28-07-2026 10:45 am","LT","Largecap","Realty"
"28-07-2026 10:55 am","PNBHOUSING","Largecap","Financials"
"28-07-2026 11:15 am","IDEA","Largecap","Telecom-Service"
"28-07-2026 11:45 am","LT","Largecap","Realty"
"28-07-2026 12:15 pm","UNIONBANK","Largecap","Bank"
"28-07-2026 12:35 pm","GLENMARK","Largecap","Healthcare"
"28-07-2026 12:35 pm","IDFCFIRSTB","Largecap","Bank"
"28-07-2026 1:25 pm","AMBUJACEM","Largecap","Building Materials"
"28-07-2026 1:25 pm","PERSISTENT","Largecap","I.T"
"28-07-2026 1:35 pm","PNBHOUSING","Largecap","Financials"
"28-07-2026 1:45 pm","ADANIENT","Largecap","Services"
"28-07-2026 1:45 pm","DLF","Largecap","Realty"
"28-07-2026 2:15 pm","LICI","Largecap","Financials"
"28-07-2026 2:15 pm","HEALTHCARE","Smallcap","Indices"
"28-07-2026 2:35 pm","KOTAKBANK","Largecap","Bank"
"28-07-2026 2:35 pm","LT","Largecap","Realty"
"28-07-2026 2:35 pm","PFC","Largecap","Financials"
"28-07-2026 2:55 pm","INDIGO","Largecap","Transportation"
"28-07-2026 3:15 pm","BAJFINANCE","Largecap","Financials"
"29-07-2026 9:15 am","AXISBANK","Largecap","Bank"
"29-07-2026 10:45 am","ANGELONE","Largecap","Financials"
"29-07-2026 11:15 am","ANGELONE","Largecap","Financials"
"29-07-2026 1:25 pm","PAYTM","Largecap","I.T"
"29-07-2026 1:55 pm","JINDALSTEL","Largecap","Metals & Mining"
"29-07-2026 2:05 pm","HINDZINC","Largecap","Metals & Mining"
"29-07-2026 2:35 pm","TMPV","Largecap","Auto"
"29-07-2026 2:45 pm","APOLLOHOSP","Largecap","Healthcare"
"29-07-2026 3:15 pm","JINDALSTEL","Largecap","Metals & Mining"
"30-07-2026 9:25 am","SWIGGY","Largecap","I.T"
"30-07-2026 10:35 am","BEL","Largecap","Aerospace & Defence"
"30-07-2026 10:45 am","GVT&D","Largecap","Industrials"
"30-07-2026 11:05 am","HEALTHCARE","Smallcap","Indices"
"30-07-2026 11:15 am","BHEL","Largecap","Industrials"
"30-07-2026 11:15 am","BSE","Largecap","Financials"
"30-07-2026 11:55 am","HEALTHCARE","Smallcap","Indices"
"30-07-2026 12:25 pm","TATAPOWER","Largecap","Power & Utilities"
"30-07-2026 12:35 pm","AXISBANK","Largecap","Bank"
"30-07-2026 1:35 pm","CGPOWER","Largecap","Industrials"
"30-07-2026 1:35 pm","ABCAPITAL","Largecap","Financials"
"30-07-2026 1:55 pm","BHEL","Largecap","Industrials"
"30-07-2026 2:35 pm","CGPOWER","Largecap","Industrials"
"30-07-2026 2:35 pm","CUMMINSIND","Largecap","Industrials"
"30-07-2026 2:45 pm","M&M","Largecap","Auto"
