LAURUSLABS,NSE_INDEX|NIFTY HEALTHCARE
LICHSGFIN,NSE_INDEX|Nifty Fin Service
LICI,NSE_INDEX|Nifty Fin Service
LODHA,NSE_INDEX|Nifty Realty
LT,NSE_INDEX|Nifty Infra
LTF,NSE_INDEX|Nifty Fin Service
LTM,NSE_INDEX|Nifty Fin Service
LUPIN,NSE_INDEX|NIFTY HEALTHCARE
M&M,NSE_INDEX|Nifty Auto
MANAPPURAM,NSE_INDEX|Nifty Fin Service
MANKIND,NSE_INDEX|NIFTY HEALTHCARE
MARICO,NSE_INDEX|Nifty FMCG
MARUTI,NSE_INDEX|Nifty Auto
MAXHEALTH,NSE_INDEX|NIFTY HEALTHCARE
MAZDOCK,NSE_INDEX|Nifty Infra
MCX,NSE_INDEX|Nifty Fin Service
MFSL,NSE_INDEX|Nifty Fin Service
MOTHERSON,NSE_INDEX|Nifty Auto
MPHASIS,NSE_INDEX|Nifty IT
MUTHOOTFIN,NSE_INDEX|Nifty Fin Service
NATIONALUM,NSE_INDEX|Nifty Metal
NAUKRI,NSE_INDEX|Nifty IT
NBCC,NSE_INDEX|Nifty Infra
NESTLEIND,NSE_INDEX|Nifty FMCG
NHPC,NSE_INDEX|Nifty Energy
NMDC,NSE_INDEX|Nifty Metal
NTPC,NSE_INDEX|Nifty Energy
NUVAMA,NSE_INDEX|Nifty Fin Service
NYKAA,NSE_INDEX|Nifty FMCG
OBEROIRLTY,NSE_INDEX|Nifty Realty
OFSS,NSE_INDEX|Nifty IT
OIL,NSE_INDEX|NIFTY OIL AND GAS
ONGC,NSE_INDEX|NIFTY OIL AND GAS
PAGEIND,NSE_INDEX|Nifty FMCG
PATANJALI,NSE_INDEX|Nifty FMCG
PAYTM,NSE_INDEX|Nifty Fin Service
PERSISTENT,NSE_INDEX|Nifty IT
PETRONET,NSE_INDEX|NIFTY OIL AND GAS
PFC,NSE_INDEX|Nifty Fin Service
PGEL,NSE_INDEX|Nifty Infra
PHOENIXLTD,NSE_INDEX|Nifty Realty
PIDILITIND,NSE_INDEX|Nifty FMCG
PIIND,NSE_INDEX|Nifty Chemicals
PNB,NSE_INDEX|Nifty PSU Bank
PNBHOUSING,NSE_INDEX|Nifty Fin Service
POLICYBZR,NSE_INDEX|Nifty Fin Service
POLYCAB,NSE_INDEX|Nifty Infra
POWERGRID,NSE_INDEX|Nifty Energy
POWERINDIA,NSE_INDEX|Nifty Infra
PREMIERENE,NSE_INDEX|Nifty Energy
PRESTIGE,NSE_INDEX|Nifty Realty
RBLBANK,NSE_INDEX|Nifty Pvt Bank
RECLTD,NSE_INDEX|Nifty Fin Service
RELIANCE,NSE_INDEX|NIFTY OIL AND GAS
RVNL,NSE_INDEX|Nifty Infra
SAIL,NSE_INDEX|Nifty Metal
SAMMAANCAP,NSE_INDEX|Nifty Fin Service
SBICARD,NSE_INDEX|Nifty Fin Service
SBILIFE,NSE_INDEX|Nifty Fin Service
SBIN,NSE_INDEX|Nifty PSU Bank
SHREECEM,NSE_INDEX|Nifty Infra
SHRIRAMFIN,NSE_INDEX|Nifty Fin Service
SIEMENS,NSE_INDEX|Nifty Infra
SOLARINDS,NSE_INDEX|Nifty Chemicals
SONACOMS,NSE_INDEX|Nifty Auto
SRF,NSE_INDEX|Nifty Chemicals
SUNPHARMA,NSE_INDEX|NIFTY HEALTHCARE
SUPREMEIND,NSE_INDEX|Nifty Chemicals
SUZLON,NSE_INDEX|Nifty Energy
SWIGGY,NSE_INDEX|Nifty Serv Sector
SYNGENE,NSE_INDEX|NIFTY HEALTHCARE
TATACONSUM,NSE_INDEX|Nifty FMCG
TATAELXSI,NSE_INDEX|Nifty IT
TATAPOWER,NSE_INDEX|Nifty Energy
TATASTEEL,NSE_INDEX|Nifty Metal
TCS,NSE_INDEX|Nifty IT
TECHM,NSE_INDEX|Nifty IT
TIINDIA,NSE_INDEX|Nifty Infra
TITAN,NSE_INDEX|NIFTY CONSR DURBL
TMPV,NSE_INDEX|Nifty Auto
TORNTPHARM,NSE_INDEX|NIFTY HEALTHCARE
TRENT,NSE_INDEX|Nifty FMCG
TVSMOTOR,NSE_INDEX|Nifty Auto
ULTRACEMCO,NSE_INDEX|Nifty Infra
UNIONBANK,NSE_INDEX|Nifty PSU Bank
UNITDSPR,NSE_INDEX|Nifty FMCG
UNOMINDA,NSE_INDEX|Nifty Auto
UPL,NSE_INDEX|Nifty Chemicals
VBL,NSE_INDEX|Nifty FMCG
VEDL,NSE_INDEX|Nifty Metal
VOLTAS,NSE_INDEX|NIFTY CONSR DURBL
WAAREEENER,NSE_INDEX|Nifty Energy
WIPRO,NSE_INDEX|Nifty IT
YESBANK,NSE_INDEX|Nifty Pvt Bank
ZYDUSLIFE,NSE_INDEX|NIFTY HEALTHCARE
ADANIPOWER,NSE_INDEX|Nifty Energy
HYUNDAI,NSE_INDEX|Nifty Auto
